TR,SRC,GEO,MD,TVD,SD,PICK1,PICK2,RCX,RCY,TVDSD,SCX,SCY,SCD
1,1,1,4000,4000,10.00000032,0.7897,0.989260837,0,0,3990.000138,-5000,0,0.00013873
2,1,2,4050,4050,10.00000032,0.7946,1.002907206,0,0,4040.000138,-5000,0,0.00013873
3,1,3,4100,4100,10.00000032,0.79955,1.016599452,0,0,4090.000138,-5000,0,0.00013873
4,1,4,4150,4150,10.00000032,0.8045,1.030274494,0,0,4140.000138,-5000,0,0.00013873
5,1,5,4200,4200,10.00000032,0.80945,1.043931666,0,0,4190.000138,-5000,0,0.00013873
6,1,6,4250,4250,10.00000032,0.81445,1.057635016,0,0,4240.000138,-5000,0,0.00013873
7,1,7,4300,4300,10.00000032,0.81945,1.071320156,0,0,4290.000138,-5000,0,0.00013873
8,1,8,4350,4350,10.00000032,0.82445,1.084986511,0,0,4340.000138,-5000,0,0.00013873
9,1,9,4400,4400,10.00000032,0.8295,1.098699518,0,0,4390.000138,-5000,0,0.00013873
10,1,10,4450,4450,10.00000032,0.8346,1.112459935,0,0,4440.000138,-5000,0,0.00013873
11,1,11,4500,4500,10.00000032,0.83965,1.126134884,0,0,4490.000138,-5000,0,0.00013873
12,1,12,4550,4550,10.00000032,0.84475,1.139857105,0,0,4540.000138,-5000,0,0.00013873
13,1,13,4600,4600,10.00000032,0.8499,1.153627376,0,0,4590.000138,-5000,0,0.00013873
14,1,14,4650,4650,10.00000032,0.85505,1.167378444,0,0,4640.000138,-5000,0,0.00013873
15,1,15,4700,4700,10.00000032,0.8602,1.181109901,0,0,4690.000138,-5000,0,0.00013873
16,1,16,4750,4750,10.00000032,0.86535,1.194821367,0,0,4740.000138,-5000,0,0.00013873
17,1,17,4800,4800,10.00000032,0.87055,1.208581665,0,0,4790.000138,-5000,0,0.00013873
18,1,18,4850,4850,10.00000032,0.87575,1.222322037,0,0,4840.000138,-5000,0,0.00013873
19,1,19,4900,4900,10.00000032,0.881,1.236112083,0,0,4890.000138,-5000,0,0.00013873
